,name,ra,dec,r50,N,pmra,pmrae,pmdec,pmdece,par,pare,dist,diste,loga,logae,feh,fehe,av,ave
0,ASCC10,51.8737,35.0113,0.498,31.0,-1.704,0.168,-1.348,0.141,1.465,0.082,643.0,30.0,8.178,0.155,0.109,0.1,0.82,0.11
1,ASCC101,288.419,36.3653,0.357,72.0,0.924,0.272,1.364,0.289,2.502,0.068,397.0,1.0,8.521,0.162,0.004,0.064,0.152,0.071
2,ASCC105,295.6291,27.3637,0.678,126.0,1.461,0.24,-1.611,0.199,1.786,0.066,545.0,8.0,8.328,0.138,0.051,0.055,0.45,0.039
3,ASCC107,297.1623,22.0071,0.156,59.0,-0.144,0.135,-5.158,0.141,1.118,0.055,864.0,30.0,7.44,0.121,0.353,0.103,1.372,0.129
4,ASCC108,298.3162,39.3132,0.526,228.0,-0.509,0.101,-1.691,0.129,0.837,0.048,1138.0,31.0,8.334,0.108,0.093,0.093,0.464,0.071
5,ASCC11,53.0779,44.8787,0.285,274.0,0.95,0.196,-3.022,0.202,1.142,0.064,849.0,20.0,8.66,0.063,-0.056,0.064,0.917,0.075
6,ASCC110,300.7723,33.5487,0.205,68.0,0.278,0.069,-3.134,0.075,0.495,0.036,1583.0,143.0,8.795,0.084,0.14,0.195,1.228,0.122
7,ASCC111,302.7576,37.4883,0.52,153.0,-1.168,0.218,-1.525,0.163,1.168,0.063,819.0,18.0,8.507,0.209,0.08,0.096,0.605,0.084
8,ASCC113,318.0929,38.5861,0.497,96.0,0.798,0.134,-3.688,0.145,1.762,0.043,559.0,9.0,8.455,0.226,-0.052,0.111,0.279,0.132
9,ASCC114,324.979,53.999,0.18,149.0,-3.754,0.21,-3.435,0.145,1.063,0.039,911.0,12.0,7.632,0.271,0.035,0.078,1.216,0.091
10,ASCC115,329.3149,51.524,0.239,38.0,-0.549,0.085,-0.551,0.107,1.313,0.031,742.0,17.0,8.389,0.239,0.05,0.174,0.945,0.204
11,ASCC12,72.4335,41.7837,0.267,162.0,-0.616,0.229,-2.81,0.176,0.936,0.083,1010.0,36.0,8.356,0.262,-0.114,0.081,1.088,0.082
12,ASCC123,340.2234,54.1737,1.136,51.0,12.309,0.417,-1.553,0.379,4.287,0.15,233.0,1.0,7.793,0.083,-0.006,0.072,0.306,0.062
13,ASCC127,347.1807,64.9151,0.541,113.0,7.49,0.261,-1.781,0.319,2.618,0.08,365.0,10.0,7.496,0.131,0.152,0.115,0.668,0.08
14,ASCC128,349.9374,54.4024,0.457,71.0,1.213,0.154,0.188,0.131,1.507,0.057,650.0,11.0,8.243,0.223,0.025,0.056,0.613,0.037
15,ASCC13,78.3057,44.4212,0.564,110.0,-0.477,0.111,-1.737,0.108,0.899,0.076,1066.0,26.0,7.615,0.098,-0.075,0.078,0.915,0.027
16,ASCC16,81.2025,1.6256,0.367,207.0,1.363,0.28,0.002,0.274,2.844,0.113,348.0,3.0,7.088,0.061,-0.062,0.069,0.224,0.045
17,ASCC19,82.0035,-1.9617,0.613,173.0,1.112,0.263,-1.303,0.241,2.756,0.088,356.0,2.0,7.139,0.03,0.076,0.077,0.189,0.043
18,ASCC21,82.1423,3.4771,0.419,102.0,1.381,0.292,-0.61,0.237,2.893,0.132,343.0,5.0,7.102,0.038,-0.008,0.029,0.236,0.048
19,ASCC23,95.0305,46.7183,0.294,121.0,1.112,0.205,-0.627,0.218,1.583,0.062,608.0,12.0,8.605,0.102,0.025,0.099,0.325,0.097
20,ASCC29,103.5647,-1.6507,0.156,54.0,-1.001,0.167,-1.015,0.12,0.954,0.064,1008.0,24.0,7.892,0.165,-0.096,0.071,0.4,0.046
21,ASCC30,104.318,-6.2998,0.286,57.0,-1.582,0.131,-0.166,0.094,0.898,0.049,1070.0,45.0,8.499,0.107,0.049,0.114,0.635,0.115
22,ASCC32,105.7112,-26.5758,0.646,255.0,-3.317,0.232,3.475,0.126,1.24,0.067,792.0,11.0,7.432,0.022,-0.003,0.048,0.22,0.019
23,ASCC41,116.665,0.1802,0.668,124.0,0.652,0.297,-4.03,0.277,3.361,0.121,297.0,5.0,8.448,0.223,-0.089,0.056,0.079,0.041
24,ASCC58,153.6049,-54.9491,0.522,134.0,-13.29,0.221,2.794,0.305,2.06,0.064,477.0,4.0,7.775,0.09,0.057,0.038,0.281,0.038
25,ASCC6,26.8538,57.7058,0.151,133.0,-0.847,0.113,0.216,0.117,0.619,0.044,1444.0,27.0,7.852,0.104,-0.069,0.071,0.994,0.046
26,ASCC66,168.362,-55.4297,0.094,22.0,-11.325,0.098,2.961,0.108,0.999,0.045,938.0,57.0,8.069,0.154,0.042,0.17,0.354,0.109
27,ASCC67,175.2892,-60.9906,0.165,46.0,-6.775,0.064,0.925,0.059,0.482,0.026,1921.0,89.0,7.483,0.227,0.215,0.095,0.81,0.044
28,ASCC71,184.9792,-67.4796,0.189,92.0,-9.265,0.232,-1.341,0.159,0.795,0.047,1187.0,33.0,8.082,0.135,0.063,0.065,0.916,0.041
29,ASCC73,189.5166,-67.2172,0.768,62.0,-11.506,0.34,-2.967,0.389,1.503,0.141,644.0,11.0,8.688,0.143,-0.153,0.147,0.69,0.154
30,ASCC77,212.723,-62.3219,0.131,149.0,-4.246,0.122,-3.213,0.134,0.844,0.052,1068.0,56.0,8.083,0.256,0.211,0.113,0.806,0.093
31,ASCC79,229.6864,-60.8056,0.818,128.0,-2.942,0.405,-4.214,0.421,1.178,0.069,831.0,4.0,7.365,0.218,0.043,0.079,0.748,0.064
32,ASCC85,251.8216,-45.5406,0.296,115.0,0.179,0.154,-4.098,0.131,1.125,0.057,848.0,24.0,8.14,0.125,0.097,0.064,0.73,0.057
33,ASCC87,255.5511,-28.3629,0.375,48.0,-1.173,0.161,-3.83,0.131,1.276,0.077,774.0,26.0,8.684,0.124,0.141,0.086,0.651,0.102
34,ASCC88,256.8848,-35.5211,0.333,132.0,0.926,0.189,-3.283,0.151,1.102,0.061,864.0,28.0,8.538,0.24,0.1,0.215,1.851,0.187
35,ASCC9,41.6795,57.7627,0.183,88.0,0.16,0.087,-1.105,0.072,0.409,0.03,2322.0,99.0,6.945,0.07,-0.159,0.078,2.571,0.041
36,ASCC90,264.7432,-34.8553,0.308,62.0,-1.618,0.259,-2.706,0.361,1.718,0.053,554.0,16.0,8.798,0.097,0.083,0.114,0.85,0.088
37,ASCC97,279.2998,-19.1546,0.136,27.0,-2.245,0.386,-6.497,0.278,1.731,0.08,564.0,7.0,8.228,0.274,0.106,0.202,1.446,0.162
38,ASCC99,282.226,-18.4123,0.674,60.0,5.212,0.315,-1.33,0.408,3.384,0.102,294.0,0.0,8.489,0.181,-0.04,0.084,0.762,0.09
39,Alessi1,13.3195,49.5356,0.217,47.0,6.548,0.153,-6.27,0.267,1.394,0.062,681.0,15.0,8.993,0.045,-0.109,0.132,0.416,0.15
40,Alessi10,301.206,-10.5452,0.27,72.0,1.458,0.243,-7.846,0.274,2.225,0.086,445.0,9.0,8.547,0.131,0.019,0.076,0.496,0.066
41,Alessi12,310.9028,23.8969,0.652,303.0,4.329,0.305,-4.648,0.222,1.825,0.097,539.0,10.0,8.195,0.127,-0.023,0.079,0.248,0.087
42,Alessi13,51.6126,-35.6459,1.291,43.0,36.164,0.886,-4.636,0.764,9.538,0.251,104.0,1.0,7.769,0.121,0.231,0.129,0.039,0.026
43,Alessi17,113.8534,-15.0917,0.024,26.0,-1.554,0.161,1.558,0.116,0.262,0.081,3718.0,201.0,8.953,0.098,-0.138,0.075,0.81,0.062
44,Alessi18,114.2948,-26.3896,0.02,26.0,-1.221,0.238,1.886,0.352,0.131,0.091,4054.0,265.0,8.819,0.728,-0.272,0.09,2.039,0.116
45,Alessi19,274.817,12.5037,0.729,67.0,-1.012,0.202,-7.051,0.205,1.713,0.068,573.0,5.0,7.763,0.126,0.129,0.078,0.406,0.066
46,Alessi2,71.6266,55.2342,0.521,174.0,-0.896,0.163,-1.055,0.178,1.582,0.084,611.0,9.0,8.598,0.081,0.057,0.106,0.814,0.112
47,Alessi20,2.5905,58.7414,0.21,110.0,8.168,0.31,-2.365,0.318,2.315,0.078,423.0,2.0,6.991,0.116,-0.104,0.143,1.002,0.119
48,Alessi21,107.7113,-9.3962,0.463,135.0,-5.498,0.262,2.587,0.184,1.718,0.083,571.0,1.0,7.944,0.162,-0.006,0.052,0.37,0.075
49,Alessi24,260.6536,-62.7844,0.432,159.0,-0.481,0.264,-8.932,0.239,2.063,0.071,482.0,3.0,8.457,0.105,0.079,0.058,0.245,0.017
50,Alessi3,109.6999,-46.026,1.491,168.0,-9.872,0.53,12.014,0.536,3.559,0.158,278.0,0.0,8.902,0.057,-0.057,0.045,0.178,0.059
51,Alessi31,267.6653,-11.8817,0.333,169.0,-1.189,0.284,-4.091,0.223,1.483,0.083,651.0,11.0,8.054,0.308,0.359,0.157,2.147,0.175
52,Alessi37,342.0186,46.3276,0.406,138.0,0.355,0.158,-1.579,0.154,1.375,0.07,706.0,8.0,8.366,0.147,0.063,0.056,0.676,0.058
53,Alessi43,132.6413,-41.763,0.266,283.0,-5.501,0.315,3.847,0.324,1.028,0.09,937.0,4.0,6.763,0.058,-0.051,0.082,0.912,0.054
54,Alessi44,295.2862,1.4935,1.288,214.0,0.491,0.368,-2.327,0.178,1.505,0.185,668.0,24.0,8.056,0.191,0.029,0.078,1.075,0.143
55,Alessi5,160.6215,-61.118,0.404,242.0,-15.363,0.34,2.537,0.35,2.492,0.067,395.0,1.0,7.785,0.136,0.064,0.084,0.404,0.125
56,Alessi53,97.3632,9.1794,0.03,38.0,0.469,0.206,-0.237,0.151,0.151,0.091,4267.0,728.0,8.524,0.628,-0.202,0.191,1.984,0.398
57,Alessi59,103.071,2.1969,0.013,11.0,-0.604,0.238,0.22,0.373,0.199,0.084,4387.0,565.0,8.755,0.61,-0.094,0.16,1.625,0.088
58,Alessi6,220.0859,-66.136,0.228,170.0,-10.483,0.194,-5.55,0.161,1.101,0.058,865.0,21.0,8.785,0.022,0.148,0.131,0.879,0.154
59,Alessi60,105.615,-1.1204,0.047,79.0,-0.83,0.114,-0.665,0.138,0.338,0.06,2501.0,138.0,8.5,0.176,-0.146,0.074,0.972,0.057
60,Alessi62,284.0243,21.5756,0.267,141.0,0.259,0.184,-1.095,0.237,1.592,0.061,617.0,8.0,8.997,0.034,0.104,0.074,0.846,0.072
61,Alessi8,232.4931,-51.1959,0.237,55.0,-5.887,0.203,-5.736,0.18,1.479,0.056,671.0,12.0,8.156,0.096,0.07,0.077,0.384,0.065
62,Alessi9,266.0186,-47.2369,1.517,164.0,9.929,0.795,-9.144,0.737,4.793,0.264,207.0,0.0,8.593,0.072,-0.002,0.05,0.155,0.056
