name,age,ra,dec,dist,toref,to_faint,isoage_min,isoage_max,nstars_toff,flag_vbroad,corr,ecorr,vbmax,evbmax,stdcol_fid,estdcol_fid,medcol_fid,emedcol_fid,stdcol_iso,estdcol_iso,medcol_iso,emedcol_iso
Collinder394,0.08550667128846841,283.0602,-20.2242,692.0,8.4,9.9,7.5,8.0,12.0,False,,,,,0.013535063420341905,0.002471741075321324,0.27244554357364636,0.050461590057380046,0.031253854002898415,0.005668493937701847,0.0208907419039126,0.013376125667046199
Haffner22,2.437810818368755,123.1043,-27.9024,2702.0,14.4,14.9,9.275,9.375,101.0,False,,,,,0.017164712919576594,0.0013914671524095368,0.3672565319960966,0.007985567519758818,0.020811205407862708,0.0019284608637422027,0.0452004013818535,0.001515478046469898
Haffner26,0.5874893525297769,123.9064,-30.8481,2519.0,13.9,14.4,8.55,8.95,41.0,False,,,,,0.06758873189237294,0.009281819314950174,0.4292270945541964,0.018291791463098672,0.06821628596468493,0.006617728899755856,0.0858325743881078,0.0155160588824248
IC2714,0.4764309868054166,169.3793,-62.711,1229.0,12.2,13.2,8.6,8.9,108.0,False,,,,,0.03577665677195013,0.0017521800548236995,0.32789455497580294,0.018438119058948932,0.040079219736315626,0.0020146579613067248,0.06743770139443064,0.005384827258164977
Melotte20,0.08336811846196349,51.5103,48.9333,177.0,7.0,8.2,7.4,8.5,24.0,True,0.7142857142857144,0.21568627450980382,340.85492,10.614282,0.02067247877805734,0.0023962479880637157,0.41738645254852036,0.06215099180078809,0.027656986241059566,0.0032999735034665266,0.05030941721991945,0.008929305792672156
Melotte22,0.13061708881318404,56.6466,24.0985,135.0,7.0,7.2,7.9,8.8,27.0,True,0.942857142857143,0.0588235294117645,212.5535,5.0913405,0.030988856910775076,0.0025728571795312133,0.4588353982146618,0.1290356129437556,0.03919185561756886,0.0039036516821178285,0.0571888995010667,0.015149459829202405
Melotte71,1.3273944577297374,114.3783,-12.0681,1927.0,13.5,14.0,9.025,9.2,82.0,False,,,,,0.04245760351750654,0.003438238495649527,0.28800668414691893,0.024730016764746066,0.0479687298091814,0.0034676502556965014,0.0777048106063166,0.0040324492434822
NGC1245,1.1994993031493806,48.6845,47.2359,2763.0,14.2,14.4,8.925,9.125,76.0,False,,,,,0.07165553672242515,0.004471306411560172,0.41468590166205593,0.025208814611085373,0.06724839748879205,0.005993407022516332,0.13553671558185595,0.006231929330317243
NGC1664,0.6426877173170193,72.7537,43.6738,1218.0,11.6,12.5,8.7,8.9,21.0,True,0.04761904761904763,0.4970320794706408,251.1592,88.8139,0.042119287421492096,0.006268817621083773,0.4964303749501354,0.06497365704154534,0.048785637033088136,0.008387547706021702,0.0819505490938917,0.005808114218599003
NGC1817,1.235947433444512,78.1321,16.7021,1582.0,13.0,13.2,8.95,9.125,41.0,False,,,,,0.06387906751019999,0.0061929616883818085,0.3109947993137958,0.02373125172705598,0.06694666603487648,0.0039059476920897535,0.0891798866683182,0.018626189840068988
